place,date,penol,bacteria,cd,cn,pb,cr6,as,hg,cr,ni,benzen
내린천1,2023-01-01,,,,,,,,,,,
방내천,2023-01-01,,,,,,,,,,,
벽계천1,2023-01-01,,,,,,,,,,,
봉산천,2023-01-01,,,,,,,,,,,
송천2,2023-01-01,,,,,,,,,,,
수동천,2023-01-01,,,,,,,,,,,
오대천2,2023-01-01,,,,,,,,,,,
옥동천1,2023-01-01,,,,,,,,,,,
주천강2,2023-01-01,,,,,,,,,,,
가평천3,2023-01-02,,,,,,,,,,,
강상,2023-01-02,,,,,,,,,,,
강천,2023-01-02,,,,,,,,,,,
경안천10,2023-01-02,,,,,,,,,,,
경안천6,2023-01-02,,,,,,,,,,,
곡수천2,2023-01-02,,,,,,,,,,,
공릉천5,2023-01-02,,,,,,,,,,,
공주1,2023-01-02,정량한계미만,220,,,,,,,,,
관리천,2023-01-02,,,,,,,,,,,
구운천2,2023-01-02,,,,,,,,,,,
구의,2023-01-02,,,,,,,,,,,
굴포천4,2023-01-02,,,,,,,,,,,
금강,2023-01-02,정량한계미만,350,,,,,,,,,
금당천2,2023-01-02,,,,,,,,,,,
금호강8,2023-01-02,정량한계미만,25000,,,,,,,,,
낙단,2023-01-02,,,,,,,,,,,
남강7,2023-01-02,정량한계미만,290,,,,,,,,,
내린천2,2023-01-02,,,,,,,,,,,
내성천5,2023-01-02,정량한계미만,720,,,,,,,,,
노량진,2023-01-02,정량한계미만,760,,,,,,,,,
논공,2023-01-02,정량한계미만,330,,,,,,,,,
다사,2023-01-02,정량한계미만,220,,,,,,,,,
단성,2023-01-02,,,,,,,,,,,
달천6,2023-01-02,,,,,,,,,,,
달천7,2023-01-02,정량한계미만,20,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
달천8,2023-01-02,,,,,,,,,,,
대성리,2023-01-02,정량한계미만,18,,,,,,,,,
대신,2023-01-02,,,,,,,,,,,
대청댐,2023-01-02,정량한계미만,6,,,,,,,,,
덕곡,2023-01-02,정량한계미만,690,,,,,,,,,
덕은리,2023-01-02,정량한계미만,116,,,,,,,,,
도남,2023-01-02,,,,,,,,,,,
도산,2023-01-02,정량한계미만,490,,,,,,,,,
목행대교,2023-01-02,정량한계미만,108,,,,,,,,,
무주남대천2,2023-01-02,정량한계미만,12000,,,,,,,,,
묵현천,2023-01-02,,,,,,,,,,,
문산천4,2023-01-02,,,,,,,,,,,
물금,2023-01-02,정량한계미만,610,,,,,,,,,
반변천4,2023-01-02,정량한계미만,810,,,,,,,,,
벽계천2,2023-01-02,,,,,,,,,,,
복하천6,2023-01-02,,,,,,,,,,,
부여,2023-01-02,,,,,,,,,,,
삼봉리,2023-01-02,,,,,,,,,,,
상주3,2023-01-02,정량한계미만,550,,,,,,,,,
선산,2023-01-02,,,,,,,,,,,
섬강3,2023-01-02,,,,,,,,,,,
섬강6,2023-01-02,정량한계미만,45,,,,,,,,,
성은천,2023-01-02,,,,,,,,,,,
소양강2,2023-01-02,정량한계미만,18,,,,,,,,,
신천5,2023-01-02,,,,,,,,,,,
안동1,2023-01-02,정량한계미만,95,,,,,,,,,
안동2,2023-01-02,,,,,,,,,,,
안동3,2023-01-02,정량한계미만,270,,,,,,,,,
안동4,2023-01-02,,,,,,,,,,,
안동5,2023-01-02,,2300,,,,,,,,,
안성천3,2023-01-02,정량한계미만,48000,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
안양천9,2023-01-02,,,,,,,,,,,
양화천4,2023-01-02,,,,,,,,,,,
여주1,2023-01-02,,,,,,,,,,,
여주2,2023-01-02,,,,,,,,,,,
연기,2023-01-02,정량한계미만,320,,,,,,,,,
영순,2023-01-02,,,,,,,,,,,
영월2,2023-01-02,,,,,,,,,,,
영춘,2023-01-02,,,,,,,,,,,
영평천3,2023-01-02,,,,,,,,,,,
예천1,2023-01-02,,,,,,,,,,,
예천2,2023-01-02,,,,,,,,,,,
오대천3,2023-01-02,,,,,,,,,,,
오산천2,2023-01-02,,,,,,,,,,,
오산천4,2023-01-02,,,,,,,,,,,
오산천6,2023-01-02,,,,,,,,,,,
옥동천3,2023-01-02,,,,,,,,,,,
옥천,2023-01-02,정량한계미만,330,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
왕숙천6,2023-01-02,,,,,,,,,,,
왜관,2023-01-02,정량한계미만,400,,,,,,,,,
용포,2023-01-02,정량한계미만,700,,,,,,,,,
운계천,2023-01-02,,,,,,,,,,,
운암,2023-01-02,정량한계미만,940,,,,,,,,,
웅천천1,2023-01-02,0,412,,,,,,,,,
원주,2023-01-02,,,,,,,,,,,
월곶,2023-01-02,,,,,,,,,,,
의암,2023-01-02,정량한계미만,69,,,,,,,,,
의암댐,2023-01-02,정량한계미만,51,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
이포,2023-01-02,,,,,,,,,,,
인북천1,2023-01-02,,,,,,,,,,,
임진강3,2023-01-02,,,,,,,,,,,
임진강6,2023-01-02,,,,,,,,,,,
적성,2023-01-02,정량한계미만,740,,,,,,,,,
제천천4,2023-01-02,,,,,,,,,,,
조양강,2023-01-02,,,,,,,,,,,
조종천4,2023-01-02,,,,,,,,,,,
주천강3,2023-01-02,,,,,,,,,,,
죽장천,2023-01-02,0,2420,,,,,,,,,
중랑천3,2023-01-02,,,,,,,,,,,
중원,2023-01-02,정량한계미만,154,,,,,,,,,
진안천,2023-01-02,0,129,,,,,,,,,
진위천1,2023-01-02,,,,,,,,,,,
진위천2,2023-01-02,,,,,,,,,,,
진위천5,2023-01-02,,,,,,,,,,,
진위천6,2023-01-02,,,,,,,,,,,
청미천6,2023-01-02,,,,,,,,,,,
청평,2023-01-02,,,,,,,,,,,
춘성교,2023-01-02,,,,,,,,,,,
춘천1,2023-01-02,,,,,,,,,,,
충주,2023-01-02,,,,,,,,,,,
충주댐,2023-01-02,정량한계미만,36,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
칠곡,2023-01-02,,,,,,,,,,,
탄천5,2023-01-02,,,,,,,,,,,
팔당,2023-01-02,,,,,,,,,,,
팔당댐,2023-01-02,정량한계미만,5,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
평창강5,2023-01-02,,,,,,,,,,,
학성,2023-01-02,정량한계미만,2,,,,,,,,,
한탄강1,2023-01-02,,,,,,,,,,,
한탄강5,2023-01-02,,,,,,,,,,,
함안,2023-01-02,정량한계미만,210,,,,,,,,,
행주,2023-01-02,,,,,,,,,,,
현도,2023-01-02,정량한계미만,30,,,,,,,,,
홍천강3,2023-01-02,,,,,,,,,,,
화천,2023-01-02,,,,,,,,,,,
황구지천1,2023-01-02,,,,,,,,,,,
황구지천2,2023-01-02,,,,,,,,,,,
황구지천4,2023-01-02,,,,,,,,,,,
황구지천5,2023-01-02,,,,,,,,,,,
황구지천6,2023-01-02,,,,,,,,,,,
흑천3,2023-01-02,,,,,,,,,,,
가양,2023-01-03,,,,,,,,,,,
계천2,2023-01-03,0,48,,,,,,,,,
고령,2023-01-03,정량한계미만,100,,,,,,,,,
광주천1,2023-01-03,0,11000,,,,,,,,,
구영,2023-01-03,정량한계미만,960,,,,,,,,,
금계천2,2023-01-03,0,78,,,,,,,,,
김화 남대천,2023-01-03,0,120,,,,,,,,,
남지,2023-01-03,정량한계미만,46,,,,,,,,,
내가천,2023-01-03,,,,,,,,,,,
달성,2023-01-03,,,,,,,,,,,
대관대천,2023-01-03,0,120,,,,,,,,,
대암,2023-01-03,정량한계미만,740,,,,,,,,,
덕현,2023-01-03,정량한계미만,610,,,,,,,,,
망성,2023-01-03,정량한계미만,460,,,,,,,,,
무한천2,2023-01-03,정량한계미만,7600,,,,,,,,,
반송,2023-01-03,정량한계미만,2200,,,,,,,,,
산곡,2023-01-03,,,,,,,,,,,
삼랑진2,2023-01-03,정량한계미만,350,,,,,,,,,
삼용천,2023-01-03,정량한계미만,5900,,,,,,,,,
삼천1,2023-01-03,정량한계미만,2100,,,,,,,,,
삼천2,2023-01-03,정량한계미만,14000,,,,,,,,,
삼천3,2023-01-03,정량한계미만,19000,,,,,,,,,
삼호,2023-01-03,정량한계미만,55000,,,,,,,,,
상주1,2023-01-03,,,,,,,,,,,
성주,2023-01-03,,,,,,,,,,,
성환천,2023-01-03,정량한계미만,16000,,,,,,,,,
수어천2,2023-01-03,정량한계미만,110,,,,,,,,,
신화,2023-01-03,정량한계미만,63,,,,,,,,,
온천천,2023-01-03,정량한계미만,52000,,,,,,,,,
웅천천2,2023-01-03,정량한계미만,130,,,,,,,,,
원성천,2023-01-03,정량한계미만,12000,,,,,,,,,
유동천2,2023-01-03,,166,,,,,,,,,
임진강7,2023-01-03,,,,,,,,,,,
입장천,2023-01-03,정량한계미만,590,,,,,,,,,
전주천1,2023-01-03,정량한계미만,130,,,,,,,,,
지헌,2023-01-03,정량한계미만,700,,,,,,,,,
진월,2023-01-03,정량한계미만,6,,,,,,,,,
창녕,2023-01-03,정량한계미만,110,,,,,,,,,
천안천1,2023-01-03,정량한계미만,5400,,,,,,,,,
천안천2,2023-01-03,정량한계미만,37000,,,,,,,,,
하남,2023-01-03,정량한계미만,88,,,,,,,,,
홍천강1,2023-01-03,,,,,,,,,,,
홍천강2,2023-01-03,0,81,,,,,,,,,
황구지천3,2023-01-03,정량한계미만,5800,,,,,,,,,
회야강1,2023-01-03,정량한계미만,3900,,,,,,,,,
회야강2,2023-01-03,정량한계미만,540,,,,,,,,,
가곡,2023-01-04,,,,,,,,,,,
갑천1,2023-01-04,정량한계미만,1000,,,,,,,,,
갑천2,2023-01-04,정량한계미만,1400,,,,,,,,,
갑천3,2023-01-04,정량한계미만,500,,,,,,,,,
갑천4,2023-01-04,정량한계미만,3100,,,,,,,,,
갑천5,2023-01-04,정량한계미만,200,,,,,,,,,
갑천6,2023-01-04,정량한계미만,7000,,,,,,,,,
계천1,2023-01-04,0,130,,,,,,,,,
고산,2023-01-04,정량한계미만,3200,,,,,,,,,
곡교천2,2023-01-04,정량한계미만,64000,,,,,,,,,
곤지암천3,2023-01-04,정량한계미만,35000,,,,,,,,,
곰나루,2023-01-04,정량한계미만,640,,,,,,,,,
공주2,2023-01-04,정량한계미만,42,,,,,,,,,
광양서천,2023-01-04,정량한계미만,80,,,,,,,,,
광주1,2023-01-04,정량한계미만,1200,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
광주2,2023-01-04,정량한계미만,3100,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
광주3,2023-01-04,정량한계미만,2800,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
구례,2023-01-04,정량한계미만,120,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
구천천,2023-01-04,0,756,,,,,,,,,
굴포천2,2023-01-04,정량한계미만,2800,,,,,,,,,
궁촌천,2023-01-04,0,6800,,,,,,,,,
금강천2,2023-01-04,정량한계미만,460,,,,,,,,,
금곡천,2023-01-04,정량한계미만,1300,,,,,,,,,
김제,2023-01-04,정량한계미만,430,,,,,,,,,
노성천2,2023-01-04,정량한계미만,550,,,,,,,,,
논산천2,2023-01-04,정량한계미만,120,,,,,,,,,
논산천3,2023-01-04,정량한계미만,660,,,,,,,,,
논산천4,2023-01-04,정량한계미만,710,,,,,,,,,
담양,2023-01-04,정량한계미만,7600,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
대곡천1,2023-01-04,0,24,,,,,,,,,
대곡천2,2023-01-04,0,14,,,,,,,,,
대전천1,2023-01-04,정량한계미만,3800,,,,,,,,,
대전천2,2023-01-04,정량한계미만,2600,,,,,,,,,
대전천3,2023-01-04,정량한계미만,500,,,,,,,,,
대전천4,2023-01-04,정량한계미만,100,,,,,,,,,
덕소천,2023-01-04,0,12000,,,,,,,,,
덕천,2023-01-04,정량한계미만,6,,,,,,,,,
덕풍천,2023-01-04,정량한계미만,12000,,,,,,,,,
도심천,2023-01-04,0,73000,,,,,,,,,
동강2,2023-01-04,정량한계미만,2,,,,,,,,,
동복천3,2023-01-04,0,43,,,,,,,,,
동진강3,2023-01-04,,,,,,,,,,,
두계천,2023-01-04,정량한계미만,460,,,,,,,,,
마산천,2023-01-04,정량한계미만,26000,,,,,,,,,
매포천,2023-01-04,0,5,,,,,,,,,
무안1,2023-01-04,정량한계미만,110,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
미호강10,2023-01-04,정량한계미만,3000,,,,,,,,,
반월천,2023-01-04,,,,,,,,,,,
방축천,2023-01-04,정량한계미만,220,,,,,,,,,
보성강3,2023-01-04,0,44,,,,,,,,,
보성강7,2023-01-04,정량한계미만,54,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
보은천,2023-01-04,0,26,,,,,,,,,
보현천,2023-01-04,0,320,,,,,,,,,
부강,2023-01-04,정량한계미만,520,,,,,,,,,
부여1,2023-01-04,정량한계미만,56,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
부여2,2023-01-04,,,,,,,,,,,
부항천,2023-01-04,0,2600,,,,,,,,,
산곡천,2023-01-04,0,63000,,,,,,,,,
삼례,2023-01-04,정량한계미만,190000,,,,,,,,,
석성천2,2023-01-04,정량한계미만,40,,,,,,,,,
석천,2023-01-04,정량한계미만,130,,,,,,,,,
석항천,2023-01-04,0,84,,,,,,,,,
선행천,2023-01-04,,,,,,,,,,,
성동,2023-01-04,정량한계미만,70,,,,,,,,,
소양강1,2023-01-04,,,,,,,,,,,
소양천1,2023-01-04,정량한계미만,1900,,,,,,,,,
소양천2,2023-01-04,정량한계미만,190,,,,,,,,,
수어천1,2023-01-04,0,164,,,,,,,,,
수철천,2023-01-04,정량한계미만,6800,,,,,,,,,
양구서천,2023-01-04,정량한계미만,1010,,,,,,,,,
양양,2023-01-04,정량한계미만,12,,,,,,,,,
양화,2023-01-04,정량한계미만,10,,,,,,,,,
연초천1,2023-01-04,0,2400,,,,,,,,,
영동천1,2023-01-04,정량한계미만,240,,,,,,,,,
영동천2,2023-01-04,정량한계미만,130,,,,,,,,,
영산포1,2023-01-04,정량한계미만,350,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
영월1,2023-01-04,,,,,,,,,,,
영평천1,2023-01-04,정량한계미만,70,,,,,,,,,
영평천2,2023-01-04,정량한계미만,3500,,,,,,,,,
옥동천2,2023-01-04,0,70,,,,,,,,,
용암천,2023-01-04,정량한계미만,19000,,,,,,,,,
용천,2023-01-04,정량한계미만,78,,,,,,,,,
월문천,2023-01-04,0,4300,,,,,,,,,
위천1,2023-01-04,0,1600,,,,,,,,,
유동천1,2023-01-04,,,,,,,,,,,
유등천2,2023-01-04,정량한계미만,600,,,,,,,,,
유등천3,2023-01-04,정량한계미만,800,,,,,,,,,
유등천7,2023-01-04,정량한계미만,120,,,,,,,,,
이사천1,2023-01-04,0,43,,,,,,,,,
이사천3,2023-01-04,정량한계미만,110,,,,,,,,,
익산천1,2023-01-04,정량한계미만,10000,,,,,,,,,
익산천2,2023-01-04,정량한계미만,22000,,,,,,,,,
익산천3,2023-01-04,정량한계미만,14000,,,,,,,,,
인북천2,2023-01-04,,,,,,,,,,,
작동교,2023-01-04,0,12,,,,,,,,,
전천,2023-01-04,,,,,,,,,,,
주원천,2023-01-04,정량한계미만,33000,,,,,,,,,
초강1,2023-01-04,정량한계미만,130,,,,,,,,,
추풍령천,2023-01-04,정량한계미만,170,,,,,,,,,
탐진강3,2023-01-04,정량한계미만,160,,,,,,,,,
평림천,2023-01-04,0,1000,,,,,,,,,
평창강4,2023-01-04,0,50,,,,,,,,,
포천천,2023-01-04,정량한계미만,350,,,,,,,,,
하동,2023-01-04,정량한계미만,24,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
하잠교,2023-01-04,0,20,,,,,,,,,
형산강5,2023-01-04,정량한계미만,30,,,,,,,,,
홍릉천,2023-01-04,0,7200,,,,,,,,,
황룡강4,2023-01-04,0,1000,,,,,,,,,
회동댐 상류,2023-01-04,0,170,,,,,,,,,
흑천1,2023-01-04,정량한계미만,1800,,,,,,,,,
가곡천,2023-01-05,정량한계미만,56,,,,,,,,,
강릉,2023-01-05,정량한계미만,74,,,,,,,,,
경안천1,2023-01-05,정량한계미만,85,,,,,,,,,
경안천9,2023-01-05,정량한계미만,7200,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
고덕천,2023-01-05,0,90000,,,,,,,,,
고부천1,2023-01-05,정량한계미만,3700,,,,,,,,,
고부천2,2023-01-05,정량한계미만,580,,,,,,,,,
구포,2023-01-05,정량한계미만,430,,,,,,,,,
내황,2023-01-05,정량한계미만,2700,,,,,,,,,
당진천1,2023-01-05,정량한계미만,9000,,,,,,,,,
도당천,2023-01-05,정량한계미만,11,,,,,,,,,
도림천,2023-01-05,0,44000,,,,,,,,,
동천,2023-01-05,정량한계미만,5400,,,,,,,,,
둔당천,2023-01-05,정량한계미만,3600,,,,,,,,,
람천1,2023-01-05,정량한계미만,3000,,,,,,,,,
람천2,2023-01-05,정량한계미만,7400,,,,,,,,,
명촌,2023-01-05,정량한계미만,70,,,,,,,,,
목감천1,2023-01-05,0,35000,,,,,,,,,
밀양강2,2023-01-05,정량한계미만,110,,,,,,,,,
밀양강3,2023-01-05,정량한계미만,180,,,,,,,,,
반변천1,2023-01-05,,,,,,,,,,,
반변천3,2023-01-05,,,,,,,,,,,
백련천,2023-01-05,정량한계미만,24000,,,,,,,,,
백천내,2023-01-05,0,3,,,,,,,,,
북천,2023-01-05,0,90,,,,,,,,,
사직,2023-01-05,정량한계미만,16,,,,,,,,,
삼척,2023-01-05,정량한계미만,40,,,,,,,,,
성내천,2023-01-05,0,11000,,,,,,,,,
성북천,2023-01-05,0,970,,,,,,,,,
수영강3,2023-01-05,정량한계미만,1800,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
신답,2023-01-05,정량한계미만,12000,,,,,,,,,
신천1,2023-01-05,정량한계미만,16000,,,,,,,,,
신천3,2023-01-05,정량한계미만,54000,,,,,,,,,
쌍촌,2023-01-05,정량한계미만,32,,,,,,,,,
아라천1,2023-01-05,,,,,,,,,,,
아라천2,2023-01-05,,,,,,,,,,,
안양천10,2023-01-05,0,7000,,,,,,,,,
양재천2,2023-01-05,0,13000,,,,,,,,,
옥천천,2023-01-05,0,200,,,,,,,,,
와룡천,2023-01-05,정량한계미만,320,,,,,,,,,
용전천3,2023-01-05,,,,,,,,,,,
용호천,2023-01-05,정량한계미만,1700,,,,,,,,,
우이천,2023-01-05,0,700,,,,,,,,,
임진강1,2023-01-05,,,,,,,,,,,
장검천,2023-01-05,정량한계미만,12000,,,,,,,,,
정릉천,2023-01-05,0,1500,,,,,,,,,
정읍천1,2023-01-05,정량한계미만,420,,,,,,,,,
정읍천2,2023-01-05,정량한계미만,2000,,,,,,,,,
정읍천3,2023-01-05,정량한계미만,480,,,,,,,,,
제일(A),2023-01-05,정량한계미만,8600,,,,,,,,,
중랑천2,2023-01-05,정량한계미만,9200,,,,,,,,,
중랑천4,2023-01-05,0,7000,,,,,,,,,
중랑천5,2023-01-05,0,1700,,,,,,,,,
중랑천6,2023-01-05,0,18000,,,,,,,,,
지석천1,2023-01-05,정량한계미만,53,,,,,,,,,
지석천3,2023-01-05,정량한계미만,60,,,,,,,,,
차탄천,2023-01-05,정량한계미만,5400,,,,,,,,,
천원천,2023-01-05,정량한계미만,1600,,,,,,,,,
청계천1,2023-01-05,0,0,,,,,,,,,
청계천2,2023-01-05,0,1000,,,,,,,,,
청계천3,2023-01-05,0,12000,,,,,,,,,
청지천,2023-01-05,정량한계미만,520,,,,,,,,,
춘천2,2023-01-05,정량한계미만,40,,,,,,,,,
춘천3,2023-01-05,정량한계미만,70,,,,,,,,,
탄천6,2023-01-05,0,26000,,,,,,,,,
태안천,2023-01-05,정량한계미만,4500,,,,,,,,,
태화,2023-01-05,정량한계미만,240,,,,,,,,,
포남,2023-01-05,정량한계미만,170,,,,,,,,,
홍제천,2023-01-05,0,2300,,,,,,,,,
화순천,2023-01-05,정량한계미만,4200,,,,,,,,,
황룡강1,2023-01-05,정량한계미만,15,,,,,,,,,
황룡강2,2023-01-05,정량한계미만,240,,,,,,,,,
회천1,2023-01-05,정량한계미만,100,,,,,,,,,
회천2,2023-01-05,정량한계미만,230,,,,,,,,,
횡천강1,2023-01-05,정량한계미만,390,,,,,,,,,
횡천강2,2023-01-05,정량한계미만,2200,,,,,,,,,
횡천강3,2023-01-05,정량한계미만,1700,,,,,,,,,
고막원천2,2023-01-06,정량한계미만,350,,,,,,,,,
고막원천3,2023-01-06,정량한계미만,200,,,,,,,,,
고성천,2023-01-06,정량한계미만,7200,,,,,,,,,
광려천1,2023-01-06,정량한계미만,840,,,,,,,,,
광려천3,2023-01-06,정량한계미만,1800,,,,,,,,,
광천천,2023-01-06,정량한계미만,3600,,,,,,,,,
금호강3,2023-01-06,정량한계미만,420,,,,,,,,,
길산천1,2023-01-06,정량한계미만,300,,,,,,,,,
내성천3,2023-01-06,정량한계미만,110,,,,,,,,,
내성천4,2023-01-06,정량한계미만,170,,,,,,,,,
대천천,2023-01-06,정량한계미만,1400,,,,,,,,,
덕계천,2023-01-06,정량한계미만,9400,,,,,,,,,
동진천1,2023-01-06,정량한계미만,240,,,,,,,,,
동진천2,2023-01-06,정량한계미만,540,,,,,,,,,
무한천1,2023-01-06,정량한계미만,160,,,,,,,,,
병천천2,2023-01-06,정량한계미만,540,,,,,,,,,
보강천2,2023-01-06,정량한계미만,920,,,,,,,,,
쌍천,2023-01-06,정량한계미만,220,,,,,,,,,
양산천1,2023-01-06,정량한계미만,440,,,,,,,,,
양산천2,2023-01-06,정량한계미만,740,,,,,,,,,
월하천,2023-01-06,정량한계미만,1900,,,,,,,,,
은산천,2023-01-06,정량한계미만,1200,,,,,,,,,
음성천2,2023-01-06,정량한계미만,170,,,,,,,,,
지천1,2023-01-06,정량한계미만,160,,,,,,,,,
판교천,2023-01-06,정량한계미만,470,,,,,,,,,
한천,2023-01-06,정량한계미만,720,,,,,,,,,
함평천1,2023-01-06,정량한계미만,670,,,,,,,,,
함평천2,2023-01-06,정량한계미만,29,,,,,,,,,
향목동천,2023-01-06,정량한계미만,49,,,,,,,,,
화양천,2023-01-06,정량한계미만,22,,,,,,,,,
가막,2023-01-09,정량한계미만,92,,,,,,,,,
공지천1,2023-01-09,정량한계미만,660,,,,,,,,,
공지천2,2023-01-09,정량한계미만,1360,,,,,,,,,
공지천3,2023-01-09,,,,,,,,,,,
광산,2023-01-09,0,800,0.00001,0,0.00007,0,0.00064,0,,,
광주천2,2023-01-09,0,14500,,,,,,,,,
구량천,2023-01-09,,,,,,,,,,,
금상천,2023-01-09,,,,,,,,,,,
나주,2023-01-09,0,267,0.00001,0,0.00017,0,0.00072,0.0000001,,,
남강3,2023-01-09,정량한계미만,1300,,,,,,,,,
남강5,2023-01-09,정량한계미만,51,,,,,,,,,
남원,2023-01-09,정량한계미만,1200,,,,,,,,,
남이섬,2023-01-09,정량한계미만,470,,,,,,,,,
동복천2,2023-01-09,0,75,,,,,,,,,
무주남대천3,2023-01-09,,,,,,,,,,,
문산천2,2023-01-09,정량한계미만,790,,,,,,,,,
문산천3,2023-01-09,정량한계미만,16000,,,,,,,,,
보청천3,2023-01-09,정량한계미만,20,,,,,,,,,
부리,2023-01-09,,,,,,,,,,,
삽교천1,2023-01-09,정량한계미만,1100,,,,,,,,,
삽교천2,2023-01-09,정량한계미만,1800,,,,,,,,,
삽교천3,2023-01-09,정량한계미만,280,,,,,,,,,
상곡천,2023-01-09,,,,,,,,,,,
영산천,2023-01-09,,,,,,,,,,,
오대천1,2023-01-09,0,690,,,,,,,,,
요천2,2023-01-09,정량한계미만,5000,,,,,,,,,
용담,2023-01-09,,,,,,,,,,,
우치,2023-01-09,0,300,0,0,0.00006,0,0.00032,0,,,
의령천,2023-01-09,정량한계미만,500,,,,,,,,,
이원,2023-01-09,,,,,,,,,,,
임진강4,2023-01-09,정량한계미만,700,,,,,,,,,
임진강5,2023-01-09,정량한계미만,1100,,,,,,,,,
정자천,2023-01-09,,,,,,,,,,,
제원2,2023-01-09,,,,,,,,,,,
제천천2,2023-01-09,정량한계미만,170,,,,,,,,,
제천천3,2023-01-09,정량한계미만,190,,,,,,,,,
제천천5,2023-01-09,,,,,,,,,,,
주천강1,2023-01-09,0,590,,,,,,,,,
죽산,2023-01-09,0,10,0.00001,0,0.00007,0,0.00079,0.0000002,,,
지석천4,2023-01-09,0,10000,0.00001,0,0.00007,0,0.00087,0,,,
창녕천,2023-01-09,정량한계미만,780,,,,,,,,,
초강2,2023-01-09,정량한계미만,12,,,,,,,,,
추풍천,2023-01-09,,,,,,,,,,,
탄천1,2023-01-09,정량한계미만,32000,,,,,,,,,
탄천3,2023-01-09,정량한계미만,37000,,,,,,,,,
탄천4,2023-01-09,정량한계미만,34000,,,,,,,,,
탐진강4,2023-01-09,0,495,,,,,,,,,
탐진강5,2023-01-09,0,53,0.00001,0,0.0003,0,0.00078,0.0000005,,,
토평천1,2023-01-09,정량한계미만,1100,,,,,,,,,
파주,2023-01-09,정량한계미만,55000,,,,,,,,,
평동천,2023-01-09,,,,,,,,,,,
평창강1,2023-01-09,0,880,,,,,,,,,
평창강2,2023-01-09,0,340,,,,,,,,,
풍영정천2,2023-01-09,0,18000,,,,,,,,,
화양강,2023-01-09,0,490,,,,,,,,,
황룡강5,2023-01-09,0,36500,0.00001,0,0.00011,0,0.00054,0.0000001,,,
회야강3,2023-01-09,정량한계미만,380,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
강상,2023-01-09,,,,,,,,,,,
강천,2023-01-09,,,,,,,,,,,
곡수천2,2023-01-09,정량한계미만,390,,,,,,,,,
공주1,2023-01-09,정량한계미만,320,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
구운천2,2023-01-09,,,,,,,,,,,
금강,2023-01-09,정량한계미만,180,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
금당천2,2023-01-09,정량한계미만,3700,,,,,,,,,
금호강8,2023-01-09,정량한계미만,12000,,,,,,,,,
낙단,2023-01-09,,,,,,,,,,,
남강7,2023-01-09,정량한계미만,380,,,,,,,,,
내성천5,2023-01-09,정량한계미만,2800,,,,,,,,,
논공,2023-01-09,정량한계미만,370,,,,,,,,,
다사,2023-01-09,정량한계미만,210,,,,,,,,,
달천7,2023-01-09,정량한계미만,82,,,,,,,,,
대신,2023-01-09,,,,,,,,,,,
대청댐,2023-01-09,정량한계미만,6,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,
덕곡,2023-01-09,정량한계미만,460,,,,,,,,,
덕은리,2023-01-09,,,,,,,,,,,
도남,2023-01-09,,,,,,,,,,,
도산,2023-01-09,정량한계미만,7700,,,,,,,,,
목행대교,2023-01-09,,,,,,,,,,,
묵현천,2023-01-09,정량한계미만,4400,,,,,,,,,
물금,2023-01-09,정량한계미만,340,,,,,,,,,
반변천4,2023-01-09,정량한계미만,810,,,,,,,,,
벽계천2,2023-01-09,,,,,,,,,,,
부여,2023-01-09,,,,,,,,,,,
삼봉리,2023-01-09,,,,,,,,,,,
상주3,2023-01-09,정량한계미만,840,,,,,,,,,
선산,2023-01-09,,,,,,,,,,,
