place,date,penol,bacteria,pb,cr6,as,hg,cu,hcb,benzen,p,por
가평천3,2022-01-03,,,,,,,,,,,
강상,2022-01-03,,,,,,,,,,,
강천,2022-01-03,정량한계미만,28,,,,,,,,,
경안천10,2022-01-03,,,,,,,,,,,
경안천6,2022-01-03,,,,,,,,,,,
곡수천2,2022-01-03,,,,,,,,,,,
공릉천5,2022-01-03,,,,,,,,,,,
공지천1,2022-01-03,정량한계미만,820,,,,,,,,,
공지천2,2022-01-03,,,,,,,,,,,
공지천3,2022-01-03,,,,,,,,,,,
관리천,2022-01-03,,,,,,,,,,,
광산,2022-01-03,0,790,,,,,,,,,
구운천2,2022-01-03,,,,,,,,,,,
구의,2022-01-03,,,,,,,,,,,
굴포천4,2022-01-03,,,,,,,,,,,
금강,2022-01-03,정량한계미만,150,,,,,,,,,
금당천2,2022-01-03,,,,,,,,,,,
금호강8,2022-01-03,정량한계미만,14000,,,,,,,,,
나주,2022-01-03,0,440,,,,,,,,,
낙단,2022-01-03,,,,,,,,,,,
남강7,2022-01-03,정량한계미만,240,,,,,,,,,
내린천2,2022-01-03,,,,,,,,,,,
내성천5,2022-01-03,정량한계미만,3000,,,,,,,,,
노량진,2022-01-03,정량한계미만,780,,,,,,,,,
논공,2022-01-03,정량한계미만,880,,,,,,,,,
다사,2022-01-03,정량한계미만,230,,,,,,,,,
단성,2022-01-03,,,,,,,,,,,
달천6,2022-01-03,,,,,,,,,,,
달천7,2022-01-03,,,,,,,,,,,
달천8,2022-01-03,,,,,,,,,,,
대교천1,2022-01-03,정량한계미만,1600,,,,,,,,,
대신,2022-01-03,정량한계미만,52,,,,,,,,,
대청댐,2022-01-03,정량한계미만,22,,,,,,,,,
덕곡,2022-01-03,정량한계미만,3100,,,,,,,,,
덕은리,2022-01-03,정량한계미만,420,,,,,,,,,
도남,2022-01-03,,,,,,,,,,,
도산,2022-01-03,정량한계미만,1900,,,,,,,,,
목행대교,2022-01-03,정량한계미만,550,,,,,,,,,
무안2,2022-01-03,0,33,,,,,,,,,
무한천2,2022-01-03,정량한계미만,350,,,,,,,,,
묵현천,2022-01-03,,,,,,,,,,,
문산천4,2022-01-03,,,,,,,,,,,
물금,2022-01-03,정량한계미만,680,,,,,,,,,
반변천4,2022-01-03,정량한계미만,7300,,,,,,,,,
반월천,2022-01-03,,,,,,,,,,,
백천내,2022-01-03,0,3,,,,,,,,,
벽계천2,2022-01-03,,,,,,,,,,,
복하천6,2022-01-03,,,,,,,,,,,
부여,2022-01-03,,,,,,,,,,,
삼봉리,2022-01-03,,,,,,,,,,,
삼용천,2022-01-03,정량한계미만,31000,,,,,,,,,
상주1,2022-01-03,,,,,,,,,,,
상주3,2022-01-03,정량한계미만,660,,,,,,,,,
선산,2022-01-03,,,,,,,,,,,
섬강3,2022-01-03,,,,,,,,,,,
섬강6,2022-01-03,정량한계미만,50,,,,,,,,,
성은천,2022-01-03,,,,,,,,,,,
성환천,2022-01-03,정량한계미만,3800,,,,,,,,,
소양강2,2022-01-03,정량한계미만,2,,,,,,,,,
신천5,2022-01-03,,,,,,,,,,,
안동1,2022-01-03,정량한계미만,5,,,,,,,,,
안동2,2022-01-03,,,,,,,,,,,
안동3,2022-01-03,정량한계미만,10,,,,,,,,,
안동4,2022-01-03,,,,,,,,,,,
안동5,2022-01-03,,6600,,,,,,,,,
안성천3,2022-01-03,정량한계미만,61000,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
안양천9,2022-01-03,,,,,,,,,,,
양화천4,2022-01-03,,,,,,,,,,,
여주1,2022-01-03,,,,,,,,,,,
여주2,2022-01-03,,,,,,,,,,,
영순,2022-01-03,,,,,,,,,,,
영월2,2022-01-03,정량한계미만,40,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
영춘,2022-01-03,,,,,,,,,,,
영평천3,2022-01-03,,,,,,,,,,,
예천1,2022-01-03,,,,,,,,,,,
예천2,2022-01-03,,,,,,,,,,,
오대천3,2022-01-03,,,,,,,,,,,
오산천2,2022-01-03,,,,,,,,,,,
오산천4,2022-01-03,,,,,,,,,,,
오산천6,2022-01-03,,,,,,,,,,,
옥동천3,2022-01-03,,,,,,,,,,,
옥천,2022-01-03,정량한계미만,200,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
온천천,2022-01-03,정량한계미만,27000,,,,,,,,,
왕숙천6,2022-01-03,,,,,,,,,,,
왜관,2022-01-03,정량한계미만,990,,,,,,,,,
요천3,2022-01-03,0,1300,,,,,,,,,
우치,2022-01-03,0,570,,,,,,,,,
운계천,2022-01-03,,,,,,,,,,,
운암,2022-01-03,정량한계미만,26,,,,,,,,,
웅천천1,2022-01-03,0,548,,,,,,,,,
원성천,2022-01-03,정량한계미만,27000,,,,,,,,,
원주,2022-01-03,,,,,,,,,,,
월곶,2022-01-03,,,,,,,,,,,
유동천2,2022-01-03,0,2,,,,,,,,,
의암댐,2022-01-03,정량한계미만,73,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
이포,2022-01-03,정량한계미만,400,,,,,,,,,
인북천1,2022-01-03,,,,,,,,,,,
임진강3,2022-01-03,,,,,,,,,,,
임진강6,2022-01-03,,,,,,,,,,,
입장천,2022-01-03,정량한계미만,370,,,,,,,,,
적성,2022-01-03,정량한계미만,130,,,,,,,,,
제천천4,2022-01-03,,,,,,,,,,,
조양강,2022-01-03,,,,,,,,,,,
조종천4,2022-01-03,,,,,,,,,,,
조천1,2022-01-03,정량한계미만,920,,,,,,,,,
주천강3,2022-01-03,,,,,,,,,,,
죽산,2022-01-03,0,230,,,,,,,,,
죽장천,2022-01-03,0,75,,,,,,,,,
중랑천3,2022-01-03,,,,,,,,,,,
중원,2022-01-03,정량한계미만,200,,,,,,,,,
지석천4,2022-01-03,0,7300,,,,,,,,,
진위천1,2022-01-03,,,,,,,,,,,
진위천2,2022-01-03,,,,,,,,,,,
진위천5,2022-01-03,,,,,,,,,,,
진위천6,2022-01-03,,,,,,,,,,,
천안천1,2022-01-03,정량한계미만,4500,,,,,,,,,
천안천2,2022-01-03,정량한계미만,35000,,,,,,,,,
철암천,2022-01-03,정량한계미만,30,,,,,,,,,
청미천6,2022-01-03,,,,,,,,,,,
청평,2022-01-03,,,,,,,,,,,
춘성교,2022-01-03,,,,,,,,,,,
춘천1,2022-01-03,,,,,,,,,,,
춘천3,2022-01-03,정량한계미만,20,,,,,,,,,
충주,2022-01-03,,,,,,,,,,,
충주댐,2022-01-03,정량한계미만,157,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
칠곡,2022-01-03,,,,,,,,,,,
탄천5,2022-01-03,,,,,,,,,,,
탐진강5,2022-01-03,0,38,,,,,,,,,
팔당,2022-01-03,,,,,,,,,,,
팔당댐,2022-01-03,정량한계미만,2,정량한계미만,정량한계미만,정량한계미만,0,,,,,
평창강5,2022-01-03,,,,,,,,,,,
학성,2022-01-03,정량한계미만,10,,,,,,,,,
한탄강1,2022-01-03,,,,,,,,,,,
한탄강5,2022-01-03,,,,,,,,,,,
함안,2022-01-03,정량한계미만,4100,,,,,,,,,
행주,2022-01-03,,,,,,,,,,,
현도,2022-01-03,정량한계미만,13,,,,,,,,,
홍천강3,2022-01-03,,,,,,,,,,,
화천,2022-01-03,,,,,,,,,,,
황구지천1,2022-01-03,,,,,,,,,,,
황구지천2,2022-01-03,,,,,,,,,,,
황구지천4,2022-01-03,,,,,,,,,,,
황구지천5,2022-01-03,,,,,,,,,,,
황구지천6,2022-01-03,,,,,,,,,,,
황룡강5,2022-01-03,0,6000,,,,,,,,,
황지1,2022-01-03,정량한계미만,520,,,,,,,,,
황지2,2022-01-03,정량한계미만,230,,,,,,,,,
회야강3,2022-01-03,정량한계미만,900,,,,,,,,,
흑천3,2022-01-03,,,,,,,,,,,
가양,2022-01-04,정량한계미만,7000,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
가평천1,2022-01-04,정량한계미만,1300,,,,,,,,,
가평천2,2022-01-04,정량한계미만,490,,,,,,,,,
간성북천,2022-01-04,정량한계미만,30,,,,,,,,,
갑천6,2022-01-04,정량한계미만,5200,,,,,,,,,
강릉,2022-01-04,정량한계미만,20,,,,,,,,,
계천2,2022-01-04,0,1000,,,,,,,,,
고령,2022-01-04,정량한계미만,15,,,,,,,,,
곡교천2,2022-01-04,정량한계미만,6700,,,,,,,,,
골지천2,2022-01-04,0,2000,,,,,,,,,
곰나루,2022-01-04,정량한계미만,140,,,,,,,,,
공주2,2022-01-04,정량한계미만,5,,,,,,,,,
광주1,2022-01-04,정량한계미만,3800,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
광주2,2022-01-04,정량한계미만,5600,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
광주3,2022-01-04,정량한계미만,6000,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
광천천,2022-01-04,정량한계미만,3100,,,,,,,,,
구례,2022-01-04,정량한계미만,120,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
구영,2022-01-04,정량한계미만,2500,,,,,,,,,
굴포천2,2022-01-04,정량한계미만,490,,,,,,,,,
금계천2,2022-01-04,0,870,,,,,,,,,
길산천1,2022-01-04,정량한계미만,49,,,,,,,,,
김화 남대천,2022-01-04,0,2000,,,,,,,,,
남강5,2022-01-04,정량한계미만,48,,,,,,,,,
남지,2022-01-04,정량한계미만,340,,,,,,,,,
내가천,2022-01-04,,,,,,,,,,,
내동천,2022-01-04,정량한계미만,3000,,,,,,,,,
달방천,2022-01-04,0,490,,,,,,,,,
달성,2022-01-04,,,,,,,,,,,
담양,2022-01-04,정량한계미만,2200,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
대관대천,2022-01-04,0,640,,,,,,,,,
대암,2022-01-04,정량한계미만,2600,,,,,,,,,
대천천,2022-01-04,정량한계미만,8300,,,,,,,,,
덕현,2022-01-04,정량한계미만,1100,,,,,,,,,
망성,2022-01-04,정량한계미만,480,,,,,,,,,
무안1,2022-01-04,정량한계미만,170,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
무한천1,2022-01-04,정량한계미만,520,,,,,,,,,
미호강10,2022-01-04,정량한계미만,29000,,,,,,,,,
반송,2022-01-04,정량한계미만,3000,,,,,,,,,
번천,2022-01-04,0,250,,,,,,,,,
보성강7,2022-01-04,정량한계미만,160,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
보청천1,2022-01-04,정량한계미만,340,,,,,,,,,
보청천2,2022-01-04,정량한계미만,1,,,,,,,,,
부강,2022-01-04,정량한계미만,450,,,,,,,,,
부여1,2022-01-04,정량한계미만,2,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
부여2,2022-01-04,정량한계미만,2,,,,,,,,,
산곡,2022-01-04,,,,,,,,,,,
산호천,2022-01-04,정량한계미만,12500,,,,,,,,,
삼가천,2022-01-04,정량한계미만,130,,,,,,,,,
삼랑진2,2022-01-04,정량한계미만,360,,,,,,,,,
삼호,2022-01-04,정량한계미만,420,,,,,,,,,
성동,2022-01-04,정량한계미만,4,,,,,,,,,
성주,2022-01-04,,,,,,,,,,,
송천1,2022-01-04,,,,,,,,,,,
신화,2022-01-04,정량한계미만,340,,,,,,,,,
쌍촌,2022-01-04,정량한계미만,20,,,,,,,,,
양양,2022-01-04,정량한계미만,70,,,,,,,,,
양화,2022-01-04,정량한계미만,2,,,,,,,,,
영산포1,2022-01-04,정량한계미만,980,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
용수천,2022-01-04,0,760,,,,,,,,,
용천,2022-01-04,정량한계미만,20,,,,,,,,,
은산천,2022-01-04,정량한계미만,880,,,,,,,,,
의령천,2022-01-04,정량한계미만,150,,,,,,,,,
임진강7,2022-01-04,정량한계미만,5000,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
조종천1,2022-01-04,정량한계미만,220,,,,,,,,,
조종천2,2022-01-04,정량한계미만,1300,,,,,,,,,
주암댐,2022-01-04,0,95,,,,,,,,,
지장천1,2022-01-04,정량한계미만,920,,,,,,,,,
지천1,2022-01-04,정량한계미만,25,,,,,,,,,
지헌,2022-01-04,정량한계미만,30,,,,,,,,,
진안천,2022-01-04,0,146,,,,,,,,,
창녕,2022-01-04,정량한계미만,160,,,,,,,,,
창원천,2022-01-04,정량한계미만,17500,,,,,,,,,
판교천,2022-01-04,정량한계미만,150,,,,,,,,,
포남,2022-01-04,정량한계미만,80,,,,,,,,,
품곡천,2022-01-04,정량한계미만,1100,,,,,,,,,
하남,2022-01-04,정량한계미만,180,,,,,,,,,
하동,2022-01-04,정량한계미만,160,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
항건천,2022-01-04,정량한계미만,33,,,,,,,,,
홍천강1,2022-01-04,,,,,,,,,,,
홍천강2,2022-01-04,0,310,,,,,,,,,
회야강1,2022-01-04,정량한계미만,2500,,,,,,,,,
회야강2,2022-01-04,정량한계미만,3300,,,,,,,,,
회인천,2022-01-04,정량한계미만,70,,,,,,,,,
가곡천,2022-01-05,정량한계미만,60,,,,,,,,,
가야천,2022-01-05,정량한계미만,470,,,,,,,,,
갑천1,2022-01-05,정량한계미만,1000,,,,,,,,,
갑천2,2022-01-05,정량한계미만,2300,,,,,,,,,
갑천3,2022-01-05,정량한계미만,600,,,,,,,,,
갑천4,2022-01-05,정량한계미만,3200,,,,,,,,,
갑천5,2022-01-05,정량한계미만,300,,,,,,,,,
경안천9,2022-01-05,정량한계미만,3800,정량한계미만,정량한계미만,정량한계미만,정량한계미만,,,,,
계천1,2022-01-05,0,1000,,,,,,,,,
고막원천2,2022-01-05,정량한계미만,10000,,,,,,,,,
고현천,2022-01-05,0,2500,,,,,,,,,
금곡천,2022-01-05,정량한계미만,11000,,,,,,,,,
김제,2022-01-05,정량한계미만,2200,,,,,,,,,
내성천3,2022-01-05,정량한계미만,0,,,,,,,,,
내성천4,2022-01-05,정량한계미만,10,,,,,,,,,
논산천4,2022-01-05,정량한계미만,54000,,,,,,,,,
당진천1,2022-01-05,정량한계미만,37000,,,,,,,,,
대전천1,2022-01-05,정량한계미만,700,,,,,,,,,
대전천2,2022-01-05,정량한계미만,700,,,,,,,,,
대전천3,2022-01-05,정량한계미만,1000,,,,,,,,,
대전천4,2022-01-05,정량한계미만,900,,,,,,,,,
도당천,2022-01-05,정량한계미만,48,,,,,,,,,
동복천3,2022-01-05,0,24,,,,,,,,,
동진강3,2022-01-05,정량한계미만,170,,,,,,,,,
둔당천,2022-01-05,정량한계미만,83000,,,,,,,,,
마산천,2022-01-05,정량한계미만,13000,,,,,,,,,
매포천,2022-01-05,0,6,,,,,,,,,
병천천2,2022-01-05,정량한계미만,40,,,,,,,,,
보성강3,2022-01-05,0,22,,,,,,,,,
부항천,2022-01-05,0,750,,,,,,,,,
사직,2022-01-05,정량한계미만,60,,,,,,,,,
삼척,2022-01-05,정량한계미만,320,,,,,,,,,
석천,2022-01-05,정량한계미만,70,,,,,,,,,
석항천,2022-01-05,0,300,,,,,,,,,
소양천1,2022-01-05,정량한계미만,1100,,,,,,,,,
소양천2,2022-01-05,정량한계미만,1600,,,,,,,,,
아라천1,2022-01-05,정량한계미만,20000,,,,,,,,,
아라천2,2022-01-05,정량한계미만,2200,,,,,,,,,
안양천2,2022-01-05,정량한계미만,9400,,,,,,,,,
안양천4,2022-01-05,정량한계미만,15000,,,,,,,,,
안양천5,2022-01-05,정량한계미만,16000,,,,,,,,,
안양천6,2022-01-05,정량한계미만,20000,,,,,,,,,
영동천1,2022-01-05,정량한계미만,79,,,,,,,,,
영동천2,2022-01-05,정량한계미만,17,,,,,,,,,
영평천1,2022-01-05,정량한계미만,78,,,,,,,,,
영평천2,2022-01-05,정량한계미만,490,,,,,,,,,
옥동천1,2022-01-05,0,460,0,0,0,0,,,,,
옥동천2,2022-01-05,0,460,,,,,,,,,
옴천천1,2022-01-05,,,,,,,,,,,
와룡천,2022-01-05,정량한계미만,210,,,,,,,,,
용암천,2022-01-05,정량한계미만,24000,,,,,,,,,
위천1,2022-01-05,0,150,,,,,,,,,
유동천1,2022-01-05,0,1300,,,,,,,,,
유등천2,2022-01-05,정량한계미만,600,,,,,,,,,
유등천3,2022-01-05,정량한계미만,900,,,,,,,,,
유등천7,2022-01-05,정량한계미만,100,,,,,,,,,
유치천2,2022-01-05,,,,,,,,,,,
이사천1,2022-01-05,0,31,,,,,,,,,
장검천,2022-01-05,정량한계미만,5400,,,,,,,,,
전천,2022-01-05,0,1700,,,,,,,,,
주원천,2022-01-05,정량한계미만,15000,,,,,,,,,
창녕천,2022-01-05,정량한계미만,200,,,,,,,,,
청지천,2022-01-05,정량한계미만,670,,,,,,,,,
초강1,2022-01-05,정량한계미만,79,,,,,,,,,
추풍령천,2022-01-05,정량한계미만,94,,,,,,,,,
탄천1,2022-01-05,정량한계미만,29000,,,,,,,,,
탄천3,2022-01-05,정량한계미만,13000,,,,,,,,,
탄천4,2022-01-05,정량한계미만,6600,,,,,,,,,
탐진강2,2022-01-05,,,,,,,,,,,
태안천,2022-01-05,정량한계미만,21000,,,,,,,,,
토평천1,2022-01-05,정량한계미만,500,,,,,,,,,
평림천,2022-01-05,0,41000,,,,,,,,,
평창강3,2022-01-05,0,120,0,0,0,0,,,,,
평창강4,2022-01-05,0,120,,,,,,,,,
포천천,2022-01-05,정량한계미만,3300,,,,,,,,,
한천,2022-01-05,정량한계미만,50,,,,,,,,,
함평천1,2022-01-05,정량한계미만,32,,,,,,,,,
함평천2,2022-01-05,정량한계미만,60,,,,,,,,,
형산강5,2022-01-05,정량한계미만,8900,,,,,,,,,
황강4,2022-01-05,정량한계미만,21,,,,,,,,,
황강5,2022-01-05,정량한계미만,80,,,,,,,,,
황룡강1,2022-01-05,정량한계미만,5,,,,,,,,,
황룡강2,2022-01-05,정량한계미만,81,,,,,,,,,
황룡강4,2022-01-05,0,13000,,,,,,,,,
회동댐 상류,2022-01-05,0.005,440,,,,,,,,,
고막원천3,2022-01-06,정량한계미만,10,,,,,,,,,
고성천,2022-01-06,정량한계미만,3200,,,,,,,,,
광려천1,2022-01-06,정량한계미만,140,,,,,,,,,
광려천3,2022-01-06,정량한계미만,200,,,,,,,,,
광주천1,2022-01-06,0,25000,,,,,,,,,
구포,2022-01-06,정량한계미만,350,,,,,,,,,
금호강3,2022-01-06,정량한계미만,20,,,,,,,,,
남강6,2022-01-06,정량한계미만,6,,,,,,,,,
내황,2022-01-06,정량한계미만,9400,,,,,,,,,
노성천2,2022-01-06,정량한계미만,27,,,,,,,,,
논산천2,2022-01-06,정량한계미만,6,,,,,,,,,
논산천3,2022-01-06,정량한계미만,79,,,,,,,,,
동천,2022-01-06,정량한계미만,14000,,,,,,,,,
두계천,2022-01-06,정량한계미만,260,,,,,,,,,
명촌,2022-01-06,정량한계미만,1400,,,,,,,,,
무주남대천1,2022-01-06,정량한계미만,320,,,,,,,,,
무주남대천2,2022-01-06,정량한계미만,320,,,,,,,,,
미호강1,2022-01-06,정량한계미만,5800,,,,,,,,,
미호강3,2022-01-06,정량한계미만,6600,,,,,,,,,
미호강4,2022-01-06,정량한계미만,4700,,,,,,,,,
미호강6,2022-01-06,정량한계미만,460,,,,,,,,,
미호강7,2022-01-06,정량한계미만,1400,,,,,,,,,
미호강8,2022-01-06,정량한계미만,3100,,,,,,,,,
반변천1,2022-01-06,,,,,,,,,,,
반변천3,2022-01-06,0,187,,,,,,,,,
방축천,2022-01-06,정량한계미만,2300,,,,,,,,,
백곡천1,2022-01-06,정량한계미만,240,,,,,,,,,
백곡천2,2022-01-06,정량한계미만,220,,,,,,,,,
북천,2022-01-06,0,760,,,,,,,,,
삼천1,2022-01-06,정량한계미만,230,,,,,,,,,
삼천2,2022-01-06,정량한계미만,1100,,,,,,,,,
삼천3,2022-01-06,정량한계미만,1300,,,,,,,,,
석문동천1,2022-01-06,정량한계미만,34,,,,,,,,,
석문동천2,2022-01-06,정량한계미만,1700,,,,,,,,,
석성천2,2022-01-06,정량한계미만,13,,,,,,,,,
선행천,2022-01-06,정량한계미만,98000,,,,,,,,,
수어천1,2022-01-06,0,238,,,,,,,,,
수영강3,2022-01-06,정량한계미만,1400,,,,,,,,,
수철천,2022-01-06,정량한계미만,2800,,,,,,,,,
신답,2022-01-06,정량한계미만,31000,,,,,,,,,
신천1,2022-01-06,정량한계미만,2700,,,,,,,,,
신천3,2022-01-06,정량한계미만,3400,,,,,,,,,
요도천,2022-01-06,정량한계미만,1100,,,,,,,,,
용전천3,2022-01-06,,,,,,,,,,,
용포,2022-01-06,정량한계미만,70,,,,,,,,,
전주천1,2022-01-06,정량한계미만,500,,,,,,,,,
제일(A),2022-01-06,정량한계미만,14000,,,,,,,,,
주진천1,2022-01-06,정량한계미만,22000,,,,,,,,,
주진천2,2022-01-06,정량한계미만,740,,,,,,,,,
중랑천2,2022-01-06,정량한계미만,2200,,,,,,,,,
지석천1,2022-01-06,정량한계미만,1,,,,,,,,,
지석천3,2022-01-06,정량한계미만,7,,,,,,,,,
차탄천,2022-01-06,정량한계미만,220,,,,,,,,,
초평천,2022-01-06,정량한계미만,13,,,,,,,,,
충주천,2022-01-06,정량한계미만,920,,,,,,,,,
칠장천,2022-01-06,정량한계미만,17000,,,,,,,,,
태화,2022-01-06,정량한계미만,510,,,,,,,,,
함안천1,2022-01-06,정량한계미만,700,,,,,,,,,
함안천2,2022-01-06,정량한계미만,30,,,,,,,,,
화순천,2022-01-06,정량한계미만,48,,,,,,,,,
화양강,2022-01-06,0,4300,,,,,,,,,
강진천,2022-01-07,정량한계미만,2400,,,,,,,,,
고달,2022-01-07,정량한계미만,940,,,,,,,,,
고부천1,2022-01-07,정량한계미만,490,,,,,,,,,
고부천2,2022-01-07,정량한계미만,2200,,,,,,,,,
곡성,2022-01-07,정량한계미만,560,,,,,,,,,
공주1,2022-01-07,정량한계미만,140,,,,,,,,,
광양서천,2022-01-07,정량한계미만,3,,,,,,,,,
금강천2,2022-01-07,정량한계미만,12,,,,,,,,,
돌산천,2022-01-07,정량한계미만,4000,,,,,,,,,
동진천1,2022-01-07,정량한계미만,170,,,,,,,,,
동진천2,2022-01-07,정량한계미만,140,,,,,,,,,
무심천2,2022-01-07,정량한계미만,40,,,,,,,,,
보강천2,2022-01-07,정량한계미만,350,,,,,,,,,
보성강4,2022-01-07,정량한계미만,76,,,,,,,,,
보성강6,2022-01-07,정량한계미만,210,,,,,,,,,
쌍천,2022-01-07,정량한계미만,14,,,,,,,,,
영암천1,2022-01-07,정량한계미만,44000,,,,,,,,,
오산천1,2022-01-07,정량한계미만,4,,,,,,,,,
오산천3,2022-01-07,정량한계미만,28000,,,,,,,,,
오산천5,2022-01-07,정량한계미만,15000,,,,,,,,,
오산천7,2022-01-07,정량한계미만,79000,,,,,,,,,
옥천천,2022-01-07,0,0,,,,,,,,,
용호천,2022-01-07,정량한계미만,4100,,,,,,,,,
월하천,2022-01-07,정량한계미만,420,,,,,,,,,
음성천2,2022-01-07,정량한계미만,9,,,,,,,,,
이사천3,2022-01-07,정량한계미만,18,,,,,,,,,
임진강1,2022-01-07,,,,,,,,,,,
정읍천1,2022-01-07,정량한계미만,5500,,,,,,,,,
정읍천2,2022-01-07,정량한계미만,370,,,,,,,,,
정읍천3,2022-01-07,정량한계미만,370,,,,,,,,,
진위천3,2022-01-07,,,,,,,,,,,
진위천4,2022-01-07,정량한계미만,30000,,,,,,,,,
천원천,2022-01-07,정량한계미만,740,,,,,,,,,
탐진강3,2022-01-07,정량한계미만,10,,,,,,,,,
향목동천,2022-01-07,정량한계미만,130,,,,,,,,,
화양천,2022-01-07,정량한계미만,1,,,,,,,,,
황구지천3,2022-01-07,정량한계미만,20000,,,,,,,,,
회천1,2022-01-07,정량한계미만,0,,,,,,,,,
회천2,2022-01-07,정량한계미만,30,,,,,,,,,
강정,2022-01-10,,,,,,,,,,,
경안천1,2022-01-10,정량한계미만,610,,,,,,,,,
경호강1,2022-01-10,정량한계미만,3900,,,,,,,,,
경호강2,2022-01-10,정량한계미만,2300,,,,,,,,,
광산천1,2022-01-10,,,,,,,,,,,
광산천2,2022-01-10,,,,,,,,,,,
광주천2,2022-01-10,0,1933,,,,,,,,,
궁촌천,2022-01-10,0,12000,,,,,,,,,
금천,2022-01-10,,,,,,,,,,,
남강천,2022-01-10,정량한계미만,280,,,,,,,,,
남원,2022-01-10,정량한계미만,280,,,,,,,,,
남이섬,2022-01-10,,,,,,,,,,,
냉천,2022-01-10,정량한계미만,92000,,,,,,,,,
대곡천1,2022-01-10,0,52,,,,,,,,,
대곡천2,2022-01-10,0,63,,,,,,,,,
대성리,2022-01-10,정량한계미만,70,,,,,,,,,
덕계천,2022-01-10,정량한계미만,500,,,,,,,,,
덕소천,2022-01-10,0,16000,,,,,,,,,
도심천,2022-01-10,0,260000,,,,,,,,,
말지천,2022-01-10,,,,,,,,,,,
문산천2,2022-01-10,정량한계미만,35000,,,,,,,,,
밀양강4,2022-01-10,정량한계미만,2400,,,,,,,,,
보은천,2022-01-10,0,42,,,,,,,,,
북면,2022-01-10,,,,,,,,,,,
산곡천,2022-01-10,0,12000,,,,,,,,,
삼랑진1,2022-01-10,,,,,,,,,,,
상주2,2022-01-10,정량한계미만,90,,,,,,,,,
양산천1,2022-01-10,정량한계미만,1700,,,,,,,,,
양산천2,2022-01-10,정량한계미만,900,,,,,,,,,
영산천,2022-01-10,,,,,,,,,,,
오대천1,2022-01-10,0,650,,,,,,,,,
요천2,2022-01-10,정량한계미만,1000,,,,,,,,,
용전천1,2022-01-10,정량한계미만,26000,,,,,,,,,
웅천천2,2022-01-10,정량한계미만,68,,,,,,,,,
월문천,2022-01-10,0,6600,,,,,,,,,
위천5,2022-01-10,정량한계미만,28,,,,,,,,,
의암,2022-01-10,정량한계미만,20,,,,,,,,,
임진강2,2022-01-10,정량한계미만,210,,,,,,,,,
임진강4,2022-01-10,정량한계미만,1300,,,,,,,,,
임진강5,2022-01-10,정량한계미만,330,,,,,,,,,
임해진,2022-01-10,정량한계미만,1400,,,,,,,,,
작동교,2022-01-10,0,50,,,,,,,,,
제천천2,2022-01-10,정량한계미만,40,,,,,,,,,
제천천3,2022-01-10,정량한계미만,300,,,,,,,,,
제천천5,2022-01-10,,,,,,,,,,,
주천강,2022-01-10,,,,,,,,,,,
주천강1,2022-01-10,0,1100,,,,,,,,,
주항천,2022-01-10,,,,,,,,,,,
청도천1,2022-01-10,,,,,,,,,,,
청도천2,2022-01-10,정량한계미만,2500,,,,,,,,,
칠성천,2022-01-10,정량한계미만,9200,,,,,,,,,
탐진강4,2022-01-10,0,12400,,,,,,,,,
평동천,2022-01-10,,,,,,,,,,,
평창강1,2022-01-10,0,870,,,,,,,,,
평창강2,2022-01-10,0,160,,,,,,,,,
풍영정천2,2022-01-10,0,9350,,,,,,,,,
하잠교,2022-01-10,0,61,,,,,,,,,
한탄강2,2022-01-10,정량한계미만,870,,,,,,,,,
한탄강3,2022-01-10,정량한계미만,420,,,,,,,,,
한탄강4,2022-01-10,정량한계미만,6000,,,,,,,,,
함양위천1,2022-01-10,정량한계미만,300,,,,,,,,,
함양위천2,2022-01-10,정량한계미만,165,,,,,,,,,
현풍,2022-01-10,정량한계미만,790,,,,,,,,,
홍릉천,2022-01-10,0,110000,,,,,,,,,
화원나루,2022-01-10,정량한계미만,1100,,,,,,,,,
화포천,2022-01-10,정량한계미만,6800,,,,,,,,,
황강3,2022-01-10,,,,,,,,,,,
가평천3,2022-01-10,,,,,,,,,,,
갑천6,2022-01-10,정량한계미만,7300,,,,,,,,,
강상,2022-01-10,,,,,,,,,,,
강천,2022-01-10,,,,,,,,,,,
경안천10,2022-01-10,,,,,,,,,,,
경안천6,2022-01-10,,,,,,,,,,,
